round	timestamp	seeds_tried	extensions_found	kept_above_threshold	total_deep_chains	elapsed_s
1	2026-03-30T13:08:50.576725	20	1200	1200	100	25.2
2	2026-03-30T13:08:53.308015	20	616	607	100	2.7
3	2026-03-30T13:08:54.684179	20	396	377	100	1.4
4	2026-03-30T13:08:56.882256	20	479	464	100	2.2
5	2026-03-30T13:09:01.109216	20	659	646	100	4.2
6	2026-03-30T13:09:02.797887	20	372	359	100	1.7
7	2026-03-30T13:09:04.289013	20	377	360	100	1.5
8	2026-03-30T13:09:04.765203	20	211	203	100	0.5
9	2026-03-30T13:09:05.954333	20	403	388	100	1.2
10	2026-03-30T13:09:06.306852	20	208	179	100	0.3
11	2026-03-30T13:09:07.180778	20	420	334	100	0.9
12	2026-03-30T13:09:07.929010	20	287	194	100	0.7
13	2026-03-30T13:09:09.272310	20	369	338	100	1.3
14	2026-03-30T13:09:09.712222	20	228	216	100	0.4
15	2026-03-30T13:09:10.090492	20	326	252	100	0.4
16	2026-03-30T13:09:11.003931	20	318	237	100	0.9
17	2026-03-30T13:09:11.497921	20	167	138	100	0.5
18	2026-03-30T13:09:12.138472	20	294	252	100	0.6
19	2026-03-30T13:09:12.966988	20	420	270	100	0.8
20	2026-03-30T13:09:13.286266	20	140	118	100	0.3
21	2026-03-30T13:09:13.823738	20	299	215	100	0.5
22	2026-03-30T13:09:14.468215	20	147	136	100	0.6
23	2026-03-30T13:09:14.848744	20	227	211	100	0.4
24	2026-03-30T13:09:15.173040	20	188	104	100	0.3
25	2026-03-30T13:09:15.254248	20	29	20	100	0.1
26	2026-03-30T13:09:15.657488	20	275	181	100	0.4
27	2026-03-30T13:09:16.305124	20	308	235	100	0.6
28	2026-03-30T13:09:16.423794	20	121	94	100	0.1
29	2026-03-30T13:09:16.811997	20	134	128	100	0.4
30	2026-03-30T13:09:17.241929	20	157	130	100	0.4
31	2026-03-30T13:09:18.386371	20	457	431	100	1.1
32	2026-03-30T13:09:18.557293	20	72	51	100	0.2
33	2026-03-30T13:09:18.904648	20	132	129	100	0.3
34	2026-03-30T13:09:19.183300	20	243	152	100	0.3
35	2026-03-30T13:09:19.865701	20	331	250	100	0.7
36	2026-03-30T13:09:19.934803	20	59	33	100	0.1
37	2026-03-30T13:09:20.196781	20	109	97	100	0.3
38	2026-03-30T13:09:20.957857	20	337	307	100	0.7
39	2026-03-30T13:09:21.458057	20	164	154	100	0.5
40	2026-03-30T13:09:21.524532	20	86	51	100	0.1
41	2026-03-30T13:09:21.758039	20	241	204	100	0.2
42	2026-03-30T13:09:22.019707	20	296	181	100	0.3
43	2026-03-30T13:09:22.262154	20	194	165	100	0.2
44	2026-03-30T13:09:22.487900	20	248	160	100	0.2
45	2026-03-30T13:09:22.666936	20	135	102	100	0.2
46	2026-03-30T13:09:23.423378	20	308	281	100	0.7
47	2026-03-30T13:09:23.971673	20	262	240	100	0.5
48	2026-03-30T13:09:24.121145	20	116	88	100	0.1
49	2026-03-30T13:09:24.513164	20	190	169	100	0.4
50	2026-03-30T13:09:25.025564	20	152	128	100	0.5
51	2026-03-30T13:09:25.227554	20	174	93	100	0.2
52	2026-03-30T13:09:25.621404	20	225	192	100	0.4
53	2026-03-30T13:09:26.147740	20	206	198	100	0.5
54	2026-03-30T13:09:26.546765	20	180	180	100	0.4
55	2026-03-30T13:09:27.122993	20	279	180	100	0.6
56	2026-03-30T13:09:27.407154	20	214	184	100	0.3
57	2026-03-30T13:09:27.542315	20	113	104	100	0.1
58	2026-03-30T13:09:27.686307	20	172	147	100	0.1
59	2026-03-30T13:09:28.012953	20	222	206	100	0.3
60	2026-03-30T13:09:28.214502	20	187	163	100	0.2
61	2026-03-30T13:09:28.382731	20	233	217	100	0.2
62	2026-03-30T13:09:28.697211	20	286	243	100	0.3
63	2026-03-30T13:09:28.790887	20	186	165	100	0.1
64	2026-03-30T13:09:28.821955	20	92	21	100	0.0
65	2026-03-30T13:09:29.161257	20	154	142	100	0.3
66	2026-03-30T13:09:29.184359	20	86	50	100	0.0
67	2026-03-30T13:09:29.699370	20	291	258	100	0.5
68	2026-03-30T13:09:29.999972	20	138	118	100	0.3
69	2026-03-30T13:09:30.269001	20	218	187	100	0.3
70	2026-03-30T13:09:30.305131	20	71	53	100	0.0
71	2026-03-30T13:09:30.443918	20	135	67	100	0.1
72	2026-03-30T13:09:30.456254	20	14	10	100	0.0
73	2026-03-30T13:09:30.506217	20	44	30	100	0.0
74	2026-03-30T13:09:30.546318	20	118	100	100	0.0
75	2026-03-30T13:09:30.570619	20	27	19	100	0.0
76	2026-03-30T13:09:30.850113	20	324	229	100	0.3
77	2026-03-30T13:09:31.056704	20	196	164	100	0.2
78	2026-03-30T13:09:31.274493	20	160	136	100	0.2
79	2026-03-30T13:09:31.653211	20	365	276	100	0.4
80	2026-03-30T13:09:31.679945	20	29	22	100	0.0
81	2026-03-30T13:09:31.885842	20	258	232	100	0.2
82	2026-03-30T13:09:31.929404	20	84	50	100	0.0
83	2026-03-30T13:09:32.066365	20	228	199	100	0.1
84	2026-03-30T13:09:32.126329	20	103	65	100	0.1
85	2026-03-30T13:09:32.175141	20	120	39	100	0.0
86	2026-03-30T13:09:32.274270	20	153	131	100	0.1
87	2026-03-30T13:09:32.487800	20	106	93	100	0.2
88	2026-03-30T13:09:32.552584	20	124	108	100	0.1
