root,rootBW,gloss,verse_count
أبد,>bd,,28
أبل,>bl,,3
أبو,>bw,,104
أبي,>by,,12
أتي,>ty,,486
أثث,>vv,,2
أثر,>vr,,21
أثم,>vm,,42
أجج,>jj,,3
أجر,>jr,,99
أجل,>jl,,48
أحد,>Hd,,82
أخذ,>x*,,244
أخر,>xr,,242
أخو,>xw,,80
أدم,>dm,,25
أدي,>dy,,5
أذن,>*n,,90
أذي,>*y,,22
أرب,>rb,,2
أرض,>rD,"earth, land",440
أرك,>rk,,5
أزر,>zr,,2
أزف,>zf,,2
أسر,>sr,,6
أسس,>ss,,2
أسف,>sf,,5
أسو,>sw,,7
أشر,>$r,,2
أصر,>Sr,,3
أصل,>Sl,,10
أفف,>ff,,3
أفق,>fq,,3
أفك,>fk,,29
أفل,>fl,,3
أكل,>kl,,101
ألف,>lf,,19
ألل,>ll,,2
ألم,>lm,,73
ألو,>lw,,37
أمد,>md,,4
أمر,>mr,,226
أمل,>ml,,2
أمم,>mm,,108
أمو,>mw,,2
أنث,>nv,,26
أنس,>ns,,317
أنف,>nf,,2
أني,>ny,,8
أهل,>hl,"family, people",120
أوب,>wb,,17
أول,>wl,,119
أون,>wn,,8
أوه,>wh,,2
أوي,>wy,,36
أيد,>yd,,11
بأس,b>s,,70
بثث,bvv,,9
بحر,bHr,,40
بخس,bxs,,7
بخع,bxE,,2
بخل,bxl,,7
بدأ,bd>,,14
بدع,bdE,,4
بدل,bdl,,40
بدن,bdn,,2
بدو,bdw,,29
بذر,b*r,,2
برأ,br>,,28
برج,brj,,6
برح,brH,,3
برد,brd,,5
برر,brr,,30
برز,brz,,9
برزخ,brzx,,3
برص,brS,,2
برق,brq,,7
برك,brk,,32
برهن,brhn,,8
بزغ,bzg,,2
بسر,bsr,,2
بسط,bsT,,23
بشر,b$r,,119
بصر,bSr,"sight, see",139
بضع,bDE,,6
بطر,bTr,,2
بطش,bT$,,8
بطل,bTl,,34
بطن,bTn,,25
بعث,bEv,,64
بعثر,bEvr,,2
بعد,bEd,,223
بعر,bEr,,2
بعض,bED,,87
بعل,bEl,,5
بغت,bgt,,13
بغض,bgD,,5
بغي,bgy,,90
بقر,bqr,,9
بقي,bqy,,21
بكر,bkr,,12
بكم,bkm,,6
بكي,bky,,7
بلد,bld,,19
بلس,bls,,5
بلغ,blg,,73
بلو,blw,,35
بنن,bnn,,2
بني,bny,,150
بهت,bht,,8
بهج,bhj,,3
بهم,bhm,,3
بوأ,bw>,,16
بوب,bwb,,24
بور,bwr,,5
بول,bwl,,4
بيت,byt,,54
بيض,byD,,12
بيع,byE,,11
بين,byn,,454
تبب,tbb,,3
تبر,tbr,,4
تبع,tbE,,156
تجر,tjr,,8
تحت,tHt,,50
ترب,trb,,22
ترف,trf,,8
ترك,trk,,37
تسع,tsE,,6
تلو,tlw,,61
تمم,tmm,,20
توب,twb,"repent, repentance",69
تور,twr,,2
ثبت,vbt,,17
ثبر,vbr,,4
ثخن,vxn,,2
ثعب,vEb,,2
ثقب,vqb,,2
ثقف,vqf,,6
ثقل,vql,,26
ثلث,vlv,,28
