verseId1,verseId2,score
1:1,27:30,4.8923
1:1,11:41,1.452
1:1,19:93,1.452
1:1,25:6,1.452
1:1,78:37,1.452
1:1,3:129,1.089
1:1,34:2,1.089
1:1,48:14,0.968
1:1,6:12,0.8712
1:1,25:48,0.8712
1:1,2:33,0.824
1:1,39:38,0.8154
1:2,15:98,6.8844
1:2,6:45,5.1633
1:2,22:64,5.1633
1:2,31:26,5.1633
1:2,14:8,4.1306
1:2,14:39,4.1306
1:2,17:79,4.1306
1:2,22:24,4.1306
1:2,23:28,4.1306
1:2,27:15,4.1306
1:2,27:93,4.1306
1:2,28:70,4.1306
1:3,1:1,5.965
1:3,2:163,5.965
1:3,2:157,2.9825
1:3,2:192,2.9825
1:3,3:132,2.9825
1:3,2:218,2.5564
1:3,3:107,2.2369
1:3,2:64,1.7895
1:3,3:74,1.7895
1:3,3:89,1.7895
1:3,2:37,1.4912
1:3,2:160,1.4912
1:4,37:20,4.2107
1:4,15:35,2.8071
1:4,38:78,2.8071
1:4,51:12,2.8071
1:4,56:56,2.8071
1:4,70:26,2.8071
1:4,26:82,1.6843
1:4,24:25,1.4036
1:4,30:43,1.3462
1:4,34:40,1.278
1:4,25:26,1.2483
1:4,82:19,1.2483
1:5,7:128,3.1528
1:5,3:51,2.5741
1:5,2:138,1.287
1:5,7:70,1.144
1:5,2:21,1.0296
1:5,2:133,1.0296
1:5,2:172,1.0296
1:5,3:182,1.0296
1:5,4:118,1.0296
1:5,4:172,1.0296
1:5,5:118,1.0296
1:5,6:18,1.0296
1:6,4:68,8.5403
1:6,37:118,8.5403
1:6,22:24,4.4041
1:6,37:23,4.2701
1:6,16:121,3.4161
1:6,24:46,3.4161
1:6,4:175,2.8468
1:6,6:87,2.8468
1:6,6:161,2.8468
1:6,10:25,2.8468
1:6,22:54,2.8468
1:6,2:5,2.47
1:7,1:6,2.4281
1:7,3:51,2.4281
1:7,4:68,2.4281
1:7,8:53,1.9426
1:7,6:126,1.6187
1:7,16:121,1.5741
1:7,48:2,0.9838
1:7,6:39,0.8273
1:7,4:175,0.8094
1:7,6:87,0.8094
1:7,6:161,0.8094
1:7,25:44,0.8006
2:2,23:49,1.6257
2:2,2:183,1.4963
2:2,2:53,1.2193
2:2,10:37,1.0125
2:2,11:110,1.0125
2:2,7:52,0.9754
2:2,6:12,0.9112
2:2,6:155,0.8457
2:2,16:64,0.8129
2:2,22:4,0.8129
2:2,22:8,0.8129
2:2,5:65,0.6343
2:3,8:3,4.3827
2:3,7:7,2.7106
2:3,4:39,2.1664
2:3,42:38,1.8783
2:3,9:78,1.8071
2:3,22:35,1.6435
2:3,20:132,1.4061
2:3,9:54,1.3641
2:3,35:29,1.3148
2:3,34:39,1.2752
2:3,32:16,1.2379
2:3,14:31,1.1953
2:4,53:13,2.0548
2:4,30:49,1.9708
2:4,5:59,1.2536
2:4,2:91,1.1143
2:4,4:162,1.0113
2:4,6:156,0.9951
2:4,2:118,0.9686
2:4,24:34,0.8529
2:4,4:136,0.7584
2:4,39:55,0.7463
2:4,3:72,0.6849
2:4,4:60,0.6686
2:5,31:5,8.8339
2:5,28:37,2.524
2:5,2:16,1.976
2:5,2:157,1.6467
2:5,2:2,1.235
2:5,2:38,1.235
2:5,2:53,1.235
2:5,3:138,0.988
2:5,3:86,0.8982
2:5,2:70,0.8233
2:5,2:135,0.8233
2:5,2:137,0.8233
2:6,36:10,6.8833
2:6,36:70,2.4093
2:6,13:7,1.9274
2:6,34:34,1.6062
2:6,38:4,1.6062
2:6,50:2,1.6062
2:6,18:56,1.4662
2:6,46:3,0.9637
2:6,78:40,0.9637
2:6,18:37,0.8019
2:6,10:2,0.7413
2:6,4:42,0.7128
2:7,45:23,1.2702
2:7,16:108,1.1804
2:7,22:32,1.0291
2:7,6:46,1.019
2:7,67:4,0.8673
2:7,24:44,0.8017
2:7,50:37,0.7679
2:7,42:24,0.7521
2:7,22:46,0.7134
2:7,29:21,0.6323
2:7,11:20,0.5746
2:7,2:104,0.5182
2:8,75:10,1.7664
2:8,75:13,1.762
